,date,latitude,longitude,depth,magnitude,magnitude type,place
1321,1985-10-27T01:39:35+0000,49.279,-127.921,10.0,4.7,MB,128 km S  from Port Alice
1333,1985-10-28T14:04:26+0000,60.236,-141.138,0.2,4.1,ML,171 km SW from Destruction Bay
1378,1985-11-09T04:46:44+0000,62.248,-124.261,10.0,4.6,MN,119 km S  from Wrigley
1393,1985-11-12T08:50:40+0000,71.417,-136.715,18.0,4.3,ML,222 km N  from Herschel
1395,1985-11-12T14:49:59+0000,62.198,-124.41,10.0,4.0,MN,126 km S  from Wrigley
1419,1985-11-16T07:11:15+0000,58.971,-136.743,18.0,4.6,ML,177 km SW from Carcross
1451,1985-11-24T19:29:27+0000,62.07,-124.216,10.0,4.0,MN,124 km N  from Nahanni Butte
1503,1985-12-05T01:27:05+0000,60.664,-60.114,18.0,4.2,ML,261 km E  from Killiniq
1513,1985-12-07T15:29:11+0000,62.213,-124.387,10.0,4.0,MN,124 km S  from Wrigley
1577,1985-12-23T05:16:03+0000,62.187,-124.243,10.0,6.9,MS,125 km S  from Wrigley
1578,1985-12-23T05:27:12+0000,62.19,-124.24,10.0,4.3,MN,125 km S  from Wrigley
1579,1985-12-23T05:27:53+0000,62.19,-124.24,10.0,4.1,MN,125 km S  from Wrigley
1581,1985-12-23T05:48:47+0000,62.14,-124.377,10.0,5.2,MN,132 km S  from Wrigley
1583,1985-12-23T06:02:11+0000,62.005,-124.521,10.0,4.1,MN,124 km NW from Nahanni Butte
1584,1985-12-23T06:06:40+0000,61.944,-124.552,10.0,4.1,MN,119 km NW from Nahanni Butte
1585,1985-12-23T06:11:31+0000,62.119,-124.835,10.0,4.0,MN,143 km SW from Wrigley
1601,1985-12-23T08:10:07+0000,62.186,-124.226,10.0,4.2,MN,125 km S  from Wrigley
1607,1985-12-23T09:37:43+0000,61.966,-124.269,10.0,4.8,MN,114 km NW from Nahanni Butte
1612,1985-12-23T11:27:20+0000,62.244,-124.391,10.0,4.3,MN,121 km S  from Wrigley
1613,1985-12-23T11:39:42+0000,79.776,-94.387,18.0,4.5,ML,167 km W  from Eureka
1623,1985-12-23T16:53:43+0000,62.272,-124.414,10.0,4.0,MN,119 km S  from Wrigley
1632,1985-12-23T19:37:54+0000,62.066,-124.289,10.0,5.6,MN,125 km N  from Nahanni Butte
1637,1985-12-23T22:11:18+0000,62.022,-124.253,10.0,4.3,MN,120 km N  from Nahanni Butte
1639,1985-12-23T23:23:54+0000,62.0,-124.407,10.0,4.1,MN,121 km NW from Nahanni Butte
1655,1985-12-24T07:41:45+0000,61.976,-124.335,10.0,4.6,MN,117 km NW from Nahanni Butte
1669,1985-12-24T20:01:10+0000,62.026,-124.285,10.0,4.1,MN,121 km NW from Nahanni Butte
1675,1985-12-25T00:16:58+0000,62.127,-124.212,10.0,4.1,MN,130 km N  from Nahanni Butte
1684,1985-12-25T15:42:42+0000,62.018,-124.181,10.0,5.3,MN,118 km N  from Nahanni Butte
1685,1985-12-25T16:08:52+0000,62.029,-124.354,10.0,4.0,MN,123 km NW from Nahanni Butte
1686,1985-12-25T16:20:46+0000,61.978,-124.265,10.0,4.0,MN,115 km NW from Nahanni Butte
1688,1985-12-25T18:49:02+0000,61.97,-124.28,10.0,5.3,MN,115 km NW from Nahanni Butte
1695,1985-12-26T00:03:05+0000,62.099,-124.475,10.0,4.0,MN,132 km NW from Nahanni Butte
1712,1985-12-26T22:59:24+0000,62.05,-124.34,10.0,4.4,MN,124 km NW from Nahanni Butte
1758,1985-12-29T19:15:03+0000,62.126,-124.3,10.0,4.0,MN,131 km N  from Nahanni Butte
1767,1985-12-30T18:55:07+0000,62.033,-124.125,10.0,4.8,MN,118 km N  from Nahanni Butte
1774,1986-01-01T04:37:24+0000,62.006,-124.159,10.0,4.8,MN,116 km N  from Nahanni Butte
1802,1986-01-05T06:56:27+0000,62.041,-124.331,10.0,4.4,MN,123 km NW from Nahanni Butte
1806,1986-01-05T14:29:25+0000,62.032,-124.212,10.0,4.4,MN,120 km N  from Nahanni Butte
1819,1986-01-07T12:25:15+0000,62.021,-124.234,10.0,4.4,MN,119 km N  from Nahanni Butte
1823,1986-01-08T02:00:15+0000,57.29,-58.16,18.0,4.3,ML,224 km E  from Nutak
1852,1986-01-11T13:30:28+0000,47.7032,-70.1173,6.4,4.0,MN,FELT LOCALLY
1854,1986-01-11T21:54:55+0000,62.143,-124.254,10.0,4.0,MN,130 km S  from Wrigley
1948,1986-01-30T06:06:40+0000,62.228,-124.332,10.0,4.6,MN,122 km S  from Wrigley
1956,1986-01-31T16:46:43+0000,41.7,-81.18,5.0,5.0,MB,PAINESVILLE
1981,1986-02-05T07:22:17+0000,62.008,-124.178,10.0,4.0,MN,117 km N  from Nahanni Butte
2021,1986-02-11T21:55:08+0000,62.033,-124.292,10.0,4.2,MN,122 km NW from Nahanni Butte
2029,1986-02-13T20:36:50+0000,62.103,-124.212,10.0,5.4,MN,127 km N  from Nahanni Butte
2043,1986-02-16T02:47:49+0000,66.52,-135.42,18.0,4.8,MN,NORTHERN YUKON TERRITORY. Felt
2051,1986-02-17T12:46:36+0000,62.109,-124.257,10.0,4.7,MN,129 km N  from Nahanni Butte
2066,1986-02-20T15:22:00+0000,62.136,-124.224,10.0,4.4,MN,MACKENZIE MOUNTAINS
2093,1986-03-02T09:01:27+0000,62.007,-124.155,10.0,4.6,MN,116 km N  from Nahanni Butte
2094,1986-03-02T12:57:06+0000,61.98,-124.226,10.0,4.1,MN,115 km NW from Nahanni Butte
2134,1986-03-12T05:36:33+0000,62.087,-124.289,10.0,4.0,MN,127 km N  from Nahanni Butte
2162,1986-03-18T08:08:37+0000,63.92,-126.83,18.0,4.4,MN,125 km SW from Tulita
2173,1986-03-21T08:15:31+0000,62.053,-124.218,10.0,4.0,MN,122 km N  from Nahanni Butte
2177,1986-03-21T23:56:19+0000,54.24,-122.0,10.0,5.4,MB,61 km NE from Prince George
2195,1986-03-26T01:00:46+0000,49.18,-127.66,10.0,4.3,MB,125 km SW from Gold River
2260,1986-04-05T11:50:36+0000,76.422,-107.089,18.0,4.0,MN,076.734-106.47101MB=3.8 1150327 05041986
2283,1986-04-12T19:36:29+0000,57.702,-53.519,18.0,4.4,ML,LABRADOR SEA
2307,1986-04-20T09:59:54+0000,57.384,-59.509,18.0,4.8,MN,FELT BY SEVERAL PEOPLE WHO WERE
2359,1986-05-02T22:33:46+0000,62.092,-124.242,10.0,4.3,ML,127 km N  from Nahanni Butte
2361,1986-05-03T15:35:19+0000,66.142,-141.185,18.0,4.3,ML,143 km S  from Rampart House
2363,1986-05-03T23:05:10+0000,62.152,-124.193,10.0,4.9,MN,128 km S  from Wrigley
2412,1986-05-18T04:09:55+0000,62.322,-124.264,10.0,4.1,MN,NAHANNI
2428,1986-05-21T02:14:09+0000,65.271,-140.955,18.0,4.4,ML,150 km NW from Moosehide Creek 2
2429,1986-05-21T03:19:33+0000,80.728,-120.079,18.0,4.6,ML,393 km NW from Isachsen
2434,1986-05-21T23:28:02+0000,60.295,-140.618,18.0,4.8,ML,146 km SW from Destruction Bay
2440,1986-05-22T17:21:20+0000,72.19,-130.12,18.0,4.5,ML,169 km W  from Sachs Harbour
2449,1986-05-24T14:31:47+0000,66.794,-93.492,18.0,4.0,MN,300 km NE from BAKER LAKE
2506,1986-06-06T05:22:43+0000,71.987,-136.127,18.0,4.1,ML,289 km N  from Herschel
2536,1986-06-15T02:02:19+0000,62.235,-124.299,10.0,4.0,MN,121 km S  from Wrigley
2544,1986-06-16T15:54:37+0000,49.431,-127.017,35.2,5.2,ML,71 km SW from Gold River
2640,1986-07-04T08:54:38+0000,62.157,-124.248,10.0,4.8,MN,128 km S  from Wrigley
2731,1986-07-27T08:17:15+0000,60.243,-129.383,18.0,4.3,ML,43 km NW from Watson Lake
2795,1986-08-12T12:39:48+0000,62.044,-124.313,10.0,4.4,MN,123 km NW from Nahanni Butte
2813,1986-08-16T09:51:46+0000,62.296,-124.359,10.0,4.0,MN,115 km S  from Wrigley
2832,1986-08-20T18:54:13+0000,61.77,-124.324,10.0,4.3,MN,96 km NW from Nahanni Butte
2834,1986-08-20T22:47:30+0000,60.266,-141.072,12.0,4.1,ML,166 km SW from Destruction Bay
2864,1986-08-28T11:47:27+0000,62.222,-124.241,10.0,4.2,MN,121 km S  from Wrigley
2897,1986-09-07T00:22:32+0000,60.134,-143.471,18.0,4.2,ML,272 km SW from Dry Creek
2909,1986-09-12T17:41:07+0000,60.784,-57.237,18.0,4.2,ML,LABRADOR SEA
2920,1986-09-15T14:48:23+0000,61.518,-143.862,52.0,4.7,ML,SOUTHERN ALASKA. Felt
2932,1986-09-19T15:53:01+0000,47.2991,-70.3201,21.9,4.2,MN,LARGEST CHARLEVOIX EVENT SINCE JAN 11
2941,1986-09-24T06:04:56+0000,54.374,-54.998,18.0,4.5,MN,221 km NE from Port Hope Simpson
3025,1986-10-13T02:26:03+0000,62.665,-143.364,18.0,4.3,ML,132 km W  from Beaver Creek
3049,1986-10-17T14:47:59+0000,47.0,-66.6,5.0,4.1,MN,FELT IN BATHURST
3106,1986-10-25T14:55:28+0000,79.553,-97.58,18.0,4.5,ML,151 km NE from Isachsen
3146,1986-11-09T02:17:01+0000,60.157,-140.943,12.0,4.3,ML,169 km SW from Destruction Bay
3150,1986-11-09T19:57:19+0000,49.235,-67.409,18.0,4.2,MN,FELT NORTH SHORE of THE ST.LAWRENCE AT
3151,1986-11-10T13:32:04+0000,62.089,-124.376,10.0,4.3,MN,129 km NW from Nahanni Butte
3157,1986-11-11T13:13:43+0000,73.737,-86.517,18.0,4.4,MN,EAST PART of BRODEUR POINT
3203,1986-12-01T16:16:43+0000,61.439,-140.32,10.0,4.2,ML,72 km W  from Burwash Landing
3206,1986-12-01T18:00:24+0000,61.454,-140.343,10.0,4.2,ML,73 km W  from Burwash Landing
3246,1986-12-06T21:04:12+0000,51.111,-130.582,18.0,4.5,ML,206 km SW from Bella Bella
3253,1986-12-07T16:18:31+0000,62.043,-124.347,10.0,4.0,MN,124 km NW from Nahanni Butte
3308,1986-12-21T17:45:21+0000,60.099,-140.976,11.0,4.2,ML,175 km SW from Destruction Bay
3366,1987-01-09T13:51:04+0000,62.04,-124.187,10.0,4.0,MN,120 km N  from Nahanni Butte
3372,1987-01-10T23:01:13+0000,62.333,-124.469,10.0,4.1,MN,113 km SW from Wrigley
3402,1987-01-19T11:26:57+0000,50.711,-130.37,10.0,4.0,ML,UNLOCATED EVENTS AT 00:37
3541,1987-02-26T04:02:05+0000,72.892,-70.282,18.0,4.1,ML,BAFFIN BAY
3559,1987-03-02T16:14:25+0000,64.834,-133.586,18.0,4.3,ML,UNLOCATED EVENT AT 17:19.
3578,1987-03-07T22:29:00+0000,61.146,-58.942,18.0,4.5,ML,LABRADOR SEA
3651,1987-03-30T03:13:42+0000,74.432,-130.194,18.0,4.6,MS,317 km NW from Sachs Harbour
3671,1987-04-05T01:49:18+0000,65.891,-135.058,18.0,4.4,ML,183 km S  from Tsiigehtchic
3764,1987-05-06T02:44:46+0000,64.718,-133.197,18.0,4.7,ML,136 km NE from Keno Hill
3817,1987-05-15T18:41:24+0000,62.123,-61.193,18.0,4.4,ML,LABRADOR SEA /HUDSON STRAIT
3846,1987-05-22T17:06:02+0000,74.579,-75.401,18.0,4.3,ML,BAFFIN BAY
3942,1987-06-23T04:55:58+0000,67.252,-53.654,18.0,4.5,ML,DAVIS STRAIT
3956,1987-06-26T10:11:35+0000,44.53,-55.896,18.0,4.4,ML,LAURENTIAN SLOPE
3975,1987-07-03T01:32:53+0000,54.086,-133.793,18.0,4.5,ML,QUEEN CHARLOTTE ISLANDS
4000,1987-07-11T13:41:53+0000,62.031,-124.287,10.0,4.0,MN,NAHANNI
4005,1987-07-13T05:49:18+0000,41.931,-80.71,5.0,4.1,MN,NEAR ASHTABULA
4314,1987-09-27T17:46:42+0000,64.515,-129.821,18.0,4.3,ML,MACKENZIE MOUNTAINS
4549,1987-11-23T07:18:21+0000,61.558,-141.32,5.0,5.7,MB,76 km SW from Dry Creek
4606,1987-11-30T17:59:43+0000,58.669,-142.856,10.0,4.2,ML,367 km SW from Destruction Bay
4613,1987-11-30T20:50:01+0000,58.643,-142.729,10.0,4.2,ML,365 km SW from Destruction Bay
4619,1987-11-30T21:46:41+0000,58.518,-142.763,10.0,4.0,ML,377 km SW from Destruction Bay
4634,1987-12-01T01:13:12+0000,58.736,-142.87,10.0,4.1,ML,361 km SW from Destruction Bay
4648,1987-12-01T09:24:59+0000,58.296,-141.826,10.0,4.0,ML,367 km SW from Haines Junction
4652,1987-12-01T12:30:19+0000,58.78,-142.75,10.0,4.5,ML,353 km SW from Destruction Bay
4653,1987-12-01T13:43:13+0000,59.03,-145.22,10.0,4.2,ML,429 km SW from Dry Creek
4663,1987-12-01T21:35:27+0000,58.336,-141.68,10.0,4.2,ML,358 km SW from Haines Junction
4700,1987-12-05T07:10:49+0000,57.489,-143.322,10.0,4.0,ML,GULF of ALASKA.
4731,1987-12-10T19:17:31+0000,65.172,-133.678,18.0,5.1,ML,NORTHERN YUKON TERRITORY.
4748,1987-12-13T21:05:04+0000,74.399,-92.959,18.0,5.4,MB,65 km SE from Resolute
4760,1987-12-14T21:09:32+0000,56.409,-56.438,18.0,4.6,ML,LABRADOR SEA
4762,1987-12-15T06:16:32+0000,57.55,-142.395,10.0,4.0,ML,454 km SW from Haines Junction
4776,1987-12-17T19:57:29+0000,58.761,-142.757,10.0,4.1,ML,GULF of ALASKA.
4832,1988-01-04T06:33:27+0000,58.592,-142.78,10.0,4.3,ML,371 km SW from Destruction Bay
4853,1988-01-08T13:58:14+0000,58.692,-143.553,10.0,4.3,MB,390 km SW from Destruction Bay
4866,1988-01-12T00:42:40+0000,72.913,-70.232,18.0,5.0,ML,257 km E  from Pond Inlet
4904,1988-01-26T13:58:52+0000,58.14,-142.864,10.0,4.9,MB,416 km SW from Destruction Bay
4930,1988-02-01T11:23:53+0000,61.595,-141.359,5.0,4.5,ML,73 km SW from Dry Creek
4946,1988-02-06T09:11:26+0000,61.589,-141.431,5.0,4.0,ML,76 km SW from Dry Creek
4962,1988-02-11T02:31:52+0000,49.581,-129.741,10.0,4.5,MB,WEST of VANCOUVER ISLAND
4970,1988-02-11T19:46:33+0000,81.65,-61.679,18.0,4.1,ML,NORTHWESTERN GREENLAND
4988,1988-02-15T19:16:09+0000,58.975,-142.862,10.0,5.0,MB,340 km SW from Destruction Bay
4999,1988-02-19T04:53:25+0000,58.435,-142.741,10.0,4.7,MB,384 km SW from Destruction Bay
5005,1988-02-20T14:48:51+0000,61.615,-141.334,5.0,4.5,MB,70 km SW from Dry Creek
5029,1988-02-26T22:00:23+0000,77.323,-84.696,18.0,4.6,ML,ELLESMERE ISLAND
5053,1988-03-04T23:19:49+0000,58.371,-142.735,10.0,4.8,MB,390 km SW from Destruction Bay
5059,1988-03-06T22:35:33+0000,56.962,-143.15,10.0,7.6,MS,534 km SW from Haines Junction
5061,1988-03-06T23:05:52+0000,56.811,-143.042,10.0,4.6,ML,544 km SW from Haines Junction
5062,1988-03-06T23:10:57+0000,56.678,-143.047,10.0,4.6,ML,556 km SW from Haines Junction
5063,1988-03-06T23:14:33+0000,57.465,-143.079,10.0,6.2,MB,486 km SW from Haines Junction
5068,1988-03-07T00:33:34+0000,56.763,-143.602,10.0,4.0,ML,GULF of ALASKA.
5070,1988-03-07T01:18:20+0000,57.855,-143.019,10.0,4.3,ML,448 km SW from Destruction Bay
5071,1988-03-07T01:57:07+0000,57.05,-144.425,10.0,4.3,MB,568 km SW from Destruction Bay
5072,1988-03-07T02:28:42+0000,56.796,-141.099,10.0,4.3,MB,488 km SW from Haines Junction
5073,1988-03-07T02:59:48+0000,57.031,-143.254,10.0,4.4,MB,531 km SW from Haines Junction
5077,1988-03-07T05:33:38+0000,56.945,-142.94,10.0,4.2,MB,528 km SW from Haines Junction
5083,1988-03-07T13:38:03+0000,57.347,-143.261,10.0,4.4,ML,503 km SW from Haines Junction
5090,1988-03-08T06:41:32+0000,57.042,-143.203,10.0,4.0,ML,528 km SW from Haines Junction
5092,1988-03-08T10:22:29+0000,57.154,-143.304,10.0,4.5,ML,522 km SW from Haines Junction
5093,1988-03-08T10:33:52+0000,56.935,-143.029,10.0,4.2,MB,532 km SW from Haines Junction
5096,1988-03-09T00:04:47+0000,57.528,-142.954,10.0,4.5,ML,476 km SW from Haines Junction
5097,1988-03-09T00:13:14+0000,57.547,-142.973,10.0,4.3,ML,475 km SW from Haines Junction
5099,1988-03-09T03:11:28+0000,57.535,-142.965,10.0,4.1,ML,GULF of ALASKA.
5111,1988-03-10T04:16:30+0000,59.228,-144.561,10.0,5.1,MB,389 km SW from Burwash Landing
5113,1988-03-10T09:13:01+0000,56.947,-142.873,10.0,4.2,ML,GULF of ALASKA.
5114,1988-03-10T14:21:24+0000,56.916,-143.24,10.0,4.7,ML,GULF of ALASKA.
5115,1988-03-10T14:25:12+0000,56.965,-143.487,10.0,4.6,MB,545 km SW from Haines Junction
5119,1988-03-11T00:33:48+0000,56.963,-143.068,10.0,4.7,MB,531 km SW from Haines Junction
5129,1988-03-13T08:43:43+0000,57.462,-142.989,10.0,4.0,ML,483 km SW from Haines Junction
5142,1988-03-15T14:25:10+0000,57.545,-143.026,10.0,4.0,ML,477 km SW from Haines Junction
5143,1988-03-15T23:56:10+0000,56.89,-142.935,10.0,5.0,MB,533 km SW from Haines Junction
5158,1988-03-16T17:24:11+0000,56.893,-143.137,10.0,4.1,MB,GULF of ALASKA.
5170,1988-03-18T14:28:47+0000,56.874,-142.762,10.0,4.2,MB,GULF of ALASKA.
5183,1988-03-21T12:20:31+0000,57.087,-143.405,10.0,4.6,MB,532 km SW from Haines Junction
5185,1988-03-21T23:50:54+0000,56.957,-143.18,10.0,4.0,MB,GULF of ALASKA.
5189,1988-03-23T03:08:29+0000,57.365,-143.244,10.0,4.3,ML,GULF of ALASKA.
5197,1988-03-24T23:44:41+0000,57.738,-143.032,10.0,4.2,ML,GULF of ALASKA.
5200,1988-03-25T19:36:46+0000,62.119,-124.209,10.0,6.0,MS,129 km N  from Nahanni Butte
5201,1988-03-25T19:52:36+0000,62.088,-124.287,10.0,5.4,MB,NAHANNI
5208,1988-03-26T00:38:57+0000,57.79,-142.922,10.0,4.3,MB,451 km SW from Destruction Bay
5218,1988-03-26T06:11:18+0000,57.65,-143.21,10.0,4.8,MB,473 km SW from Destruction Bay
5225,1988-03-27T02:07:08+0000,57.371,-143.208,10.0,4.1,MB,499 km SW from Haines Junction
5228,1988-03-27T22:03:14+0000,58.126,-142.98,10.0,4.4,MB,421 km SW from Destruction Bay
5236,1988-03-29T01:16:20+0000,57.242,-143.107,10.0,5.0,MB,507 km SW from Haines Junction
5296,1988-04-10T23:46:02+0000,62.048,-124.263,10.0,4.0,MN,123 km N  from Nahanni Butte
5306,1988-04-13T00:02:41+0000,57.039,-143.333,10.0,5.2,MB,533 km SW from Haines Junction
5314,1988-04-14T12:09:31+0000,58.161,-142.971,10.0,4.2,ML,GULF of ALASKA.
5327,1988-04-16T19:41:54+0000,57.348,-143.109,10.0,4.2,ML,GULF of ALASKA.
5343,1988-04-20T17:26:11+0000,57.069,-143.39,10.0,4.0,MB,GULF of ALASKA.
5348,1988-04-21T19:30:33+0000,58.067,-143.1,10.0,4.4,MB,430 km SW from Destruction Bay
5360,1988-04-26T01:47:30+0000,57.567,-143.095,10.0,5.6,MS,478 km SW from Destruction Bay
5370,1988-04-28T00:50:41+0000,56.976,-143.456,10.0,4.3,MB,543 km SW from Haines Junction
5382,1988-04-29T22:51:35+0000,57.86,-142.936,10.0,4.0,ML,445 km SW from Destruction Bay
5396,1988-05-02T06:46:42+0000,59.963,-48.342,18.0,4.2,ML,LABRADOR SEA
5426,1988-05-10T13:03:59+0000,57.351,-142.987,10.0,4.6,MB,493 km SW from Haines Junction
5432,1988-05-12T05:53:33+0000,57.227,-143.153,10.0,4.1,ML,GULF of ALASKA.
5440,1988-05-13T11:16:59+0000,57.539,-143.166,10.0,4.0,ML,GULF of ALASKA.
5455,1988-05-16T15:25:32+0000,57.305,-143.218,10.0,4.1,ML,505 km SW from Haines Junction
5471,1988-05-22T19:18:47+0000,62.198,-124.189,10.0,5.2,MB,123 km S  from Wrigley
5491,1988-05-26T19:01:32+0000,48.928,-128.474,10.0,5.1,MB,178 km SW from Port Alice
5498,1988-05-26T23:27:25+0000,48.934,-128.433,10.0,4.8,MB,176 km SW from Port Alice
5517,1988-05-31T16:17:26+0000,48.936,-128.503,10.0,4.3,MB,WEST of VANCOUVER ISLAND
5519,1988-05-31T16:35:54+0000,48.977,-128.432,10.0,4.6,MB,WEST of VANCOUVER ISLAND
5535,1988-06-05T08:19:03+0000,48.947,-128.477,10.0,4.7,MB,WEST of VANCOUVER ISLAND
5540,1988-06-06T15:01:27+0000,58.859,-137.855,18.0,5.0,MB,212 km S  from Haines Junction
5573,1988-06-12T15:38:25+0000,75.03,-95.632,18.0,4.5,MN,CORNWALLIS ISLAND
5589,1988-06-16T05:30:15+0000,57.261,-142.942,10.0,4.0,ML,GULF of ALASKA.
5592,1988-06-16T15:53:25+0000,59.193,-136.493,10.0,4.4,MB,148 km SW from Carcross
5603,1988-06-18T15:06:32+0000,57.548,-142.91,10.0,4.3,MB,473 km SW from Haines Junction
5631,1988-06-24T03:06:21+0000,58.888,-144.241,10.0,4.2,ML,GULF of ALASKA.
5635,1988-06-24T15:37:48+0000,61.908,-124.187,10.0,4.9,MB,107 km NW from Nahanni Butte
5659,1988-06-27T23:13:47+0000,49.483,-128.942,10.0,4.6,MB,WEST of VANCOUVER ISLAND
5691,1988-07-06T11:06:28+0000,48.815,-129.222,10.0,4.7,MB,217 km SW from Port Alice
5706,1988-07-11T14:45:02+0000,47.499,-129.064,10.0,4.0,MB,OFF THE COAST of WASHINGTON.
5712,1988-07-13T15:30:10+0000,50.511,-130.239,10.0,4.3,MB,WEST of VANCOUVER ISLAND
5727,1988-07-16T22:01:14+0000,57.072,-143.151,10.0,4.0,MB,524 km SW from Haines Junction
5736,1988-07-19T10:54:39+0000,50.377,-130.128,10.0,5.4,MB,190 km W  from Port Hardy
5774,1988-07-30T08:06:57+0000,50.47,-130.176,10.0,4.5,MB,WEST of VANCOUVER ISLAND
5796,1988-08-08T12:37:52+0000,66.134,-135.279,18.0,4.6,ML,NORTHERN YUKON TERRITORY.
5800,1988-08-09T12:32:54+0000,72.208,-130.268,35.0,4.8,MB,BEAUFORT SEA.
5830,1988-08-20T10:37:48+0000,50.009,-130.112,10.0,4.3,MB,WEST of VANCOUVER ISLAND
5862,1988-08-30T13:56:33+0000,56.826,-141.877,10.0,4.7,MB,506 km SW from Haines Junction
5874,1988-09-01T00:06:06+0000,61.963,-124.441,10.0,4.2,MN,118 km NW from Nahanni Butte
5962,1988-09-16T12:05:41+0000,65.112,-133.987,18.0,4.3,ML,NORTHERN YUKON TERRITORY.
5974,1988-09-18T21:47:13+0000,57.817,-142.932,10.0,4.1,ML,GULF of ALASKA.
6115,1988-10-26T18:00:37+0000,71.974,-75.005,18.0,4.4,MN,NORTHERN BAFFIN ISLAND
6152,1988-11-05T12:36:52+0000,60.409,-138.461,18.0,4.0,ML,ST. ELIAS MOUNTAINS
6159,1988-11-08T21:45:31+0000,57.852,-142.943,10.0,4.0,ML,446 km SW from Destruction Bay
6182,1988-11-13T20:41:35+0000,62.045,-124.322,10.0,4.0,MN,NAHANNI
6189,1988-11-15T08:16:47+0000,61.672,-133.338,18.0,4.2,ML,SOUTHERN YUKON TERRITORY.
